Device_Name,Start,End,Removed_Hours
设备18,2013-06-06 17:34:27,2013-06-25 23:34:27,463
设备18,2013-07-03 19:34:27,2013-08-28 20:34:27,1346
设备18,2013-08-28 22:34:27,2013-09-23 14:34:27,617
设备18,2013-09-23 16:34:27,2013-10-08 08:34:27,353
设备18,2013-10-18 04:34:27,2013-11-08 08:34:27,509
设备18,2014-01-13 15:34:27,2014-01-29 18:34:27,388
设备18,2014-02-14 15:34:27,2014-03-03 00:34:27,394
设备19,2013-01-10 08:34:27,2013-02-01 10:34:27,531
设备19,2013-02-01 12:34:27,2013-02-22 12:34:27,505
设备19,2013-06-06 17:34:27,2013-06-25 23:34:27,463
设备19,2013-07-05 18:34:27,2013-08-21 09:34:27,1120
设备19,2014-01-13 15:34:27,2014-02-11 13:34:27,695
设备19,2014-02-11 15:34:27,2014-03-01 19:34:27,437
设备20,2013-01-10 08:34:27,2013-02-26 14:34:27,1135
设备20,2013-03-09 02:34:27,2013-04-09 13:34:27,756
设备20,2013-04-09 15:34:27,2013-04-29 19:34:27,485
设备20,2013-06-06 17:34:27,2013-06-25 23:34:27,463
设备20,2013-07-03 19:34:27,2013-08-28 20:34:27,1346
设备20,2013-08-29 08:34:27,2013-09-23 14:34:27,607
设备20,2013-09-23 19:34:27,2013-10-08 08:34:27,350
设备20,2013-10-18 05:34:27,2013-11-08 08:34:27,508
设备20,2014-01-13 15:34:27,2014-03-01 19:34:27,1133
设备21,2013-01-29 10:34:27,2013-03-13 18:34:27,1041
设备21,2013-03-25 11:34:27,2013-04-18 12:34:27,578
设备21,2013-05-13 12:34:27,2013-06-06 08:34:27,573
设备21,2013-06-14 11:34:27,2013-06-29 19:34:27,369
设备21,2013-06-29 21:34:27,2013-08-23 14:34:27,1314
设备21,2013-09-25 20:34:27,2013-10-12 18:34:27,407
设备21,2013-11-29 22:34:27,2014-01-07 09:34:27,924
设备21,2014-01-16 15:34:27,2014-02-17 08:34:27,762
设备22,2013-01-29 10:34:27,2013-03-13 18:34:27,1041
设备22,2013-03-22 12:34:27,2013-04-18 12:34:27,649
设备22,2013-04-18 14:34:27,2013-05-13 10:34:27,597
设备22,2013-05-13 12:34:27,2013-06-06 08:34:27,573
设备22,2013-06-14 11:34:27,2013-09-04 10:34:27,1968
设备22,2013-09-04 12:34:27,2013-09-27 14:34:27,555
设备22,2013-09-27 20:34:27,2013-10-16 09:34:27,446
设备22,2013-10-30 12:34:27,2013-11-18 17:34:27,462
设备22,2013-11-29 22:34:27,2014-01-07 09:34:27,924
设备22,2014-01-19 03:34:27,2014-02-17 08:34:27,702
设备23,2013-01-25 16:34:27,2013-03-13 18:34:27,1131
设备23,2013-06-29 19:34:27,2013-08-15 22:34:27,1132
设备23,2013-09-24 10:34:27,2013-10-10 15:34:27,390
设备23,2013-12-21 14:34:27,2014-01-13 13:34:27,552
设备23,2014-01-16 15:34:27,2014-02-17 08:34:27,762
设备24,2013-07-01 18:34:27,2013-08-15 08:34:27,1071
设备24,2014-01-23 10:34:27,2014-02-07 08:34:27,359
设备25,2013-01-25 16:34:27,2013-03-13 18:34:27,1131
设备25,2013-06-29 19:34:27,2013-08-15 22:34:27,1132
设备25,2013-09-24 10:34:27,2013-10-10 15:34:27,390
设备25,2013-10-30 12:34:27,2013-11-19 19:34:27,488
设备25,2013-11-29 22:34:27,2013-12-15 05:34:27,368
设备25,2013-12-21 14:34:27,2014-01-13 13:34:27,552
设备25,2014-01-16 15:34:27,2014-02-17 08:34:27,762
设备26,2013-01-25 11:34:27,2013-03-13 18:34:27,1136
设备26,2013-03-13 20:34:27,2013-04-18 12:34:27,857
设备26,2013-04-18 14:34:27,2013-05-12 07:34:27,570
设备26,2013-05-13 14:34:27,2013-06-03 04:34:27,495
设备26,2013-06-14 11:34:27,2013-08-15 06:34:27,1484
设备26,2013-08-22 10:34:27,2013-09-25 14:34:27,821
设备26,2014-01-16 15:34:27,2014-02-20 14:34:27,840
设备27,2013-02-05 10:34:27,2013-02-21 19:34:27,394
设备27,2013-07-04 17:34:27,2013-08-15 07:34:27,999
设备27,2014-01-23 17:34:27,2014-02-07 15:34:27,359
设备28,2013-02-05 10:34:27,2013-02-21 19:34:27,394
