Device_Name,File_Path,Input_SHA256,Window_Count,Zero_Fault_Windows,Gap_Count,Level1_Sparsity,Level1_Mean_Intensity,Level1_CV,Level2_Sparsity,Level2_Mean_Intensity,Level2_CV,Level3_Sparsity,Level3_Mean_Intensity,Level3_CV,Level4_Sparsity,Level4_Mean_Intensity,Level4_CV,Routing_Sparsity,Cluster,Label,Model,Raw_Four_Device_Model,Previous_All80_Model
设备27,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault_selected_cleaned/设备27_cleaned.csv,b6aa50ef982c53900027c4803c809ff5315919d5978678e4d3241e3c343fd60c,8452,5211,3,0.6203265499290109,1.7139138665404638,1.4265873376927682,0.9986985328916232,0.0015380974917179365,29.141056662927525,0.9940842404164695,0.022953147184098438,15.293872633220163,0.9975153809749172,0.0024846190250828208,20.03687077555252,0.9026561760530052,2,Intermittent,iTransformer,iTransformer,Informer
设备58,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault_selected_cleaned/设备58_cleaned.csv,58f34fb3b1cb0f50206f8d5ef3be2c0ebc9adb22bd7bc6349ed306b6c293222e,9294,5934,1,0.7497310092532817,0.2708198837959974,1.8706556168367292,0.8270927480094685,0.8263395739186572,2.679063034624154,0.9998924037013127,0.00010759629868732516,96.40020746865642,0.9994620185065634,0.0005379814934366257,43.10220411997512,0.8940445448676566,0,Dense,Informer,Informer,Informer
设备69,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault_selected_cleaned/设备69_cleaned.csv,fb53a5fb542d69877f9cdd53310e9b8f8a215c876096de46dfc7bb32c8997d48,9128,8451,1,0.9272567922874672,0.29173970201577565,4.974128877638951,0.9978089395267309,0.0021910604732690623,21.340103092534484,0.9990140227870289,0.0017528483786152498,35.81375434103495,0.9985758106923751,0.0017528483786152498,31.58124443399911,0.9806638913234006,2,Intermittent,iTransformer,iTransformer,PatchTST
设备83,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault_selected_cleaned/设备83_cleaned.csv,84639f54af80ebb450ae46900fe2a76a3cc084c56a9b083d4bfd61a8d4bcfb18,9271,8357,1,0.9998921367705749,0.00010786322942508899,96.28083921528726,0.9956854708229964,0.004853845324129005,15.8368222276947,0.9908316254988674,0.014237946284111746,14.296283559010456,0.9100420666594757,0.25110559810160715,4.794088400083775,0.9741128249379787,1,Sparse,PatchTST,PatchTST,PatchTST
