device,fold,seq_len,train_windows,train_positive,val_windows,val_positive,test_windows,test_positive,status
设备11,8,12,2582,164,304,2,305,1,ready
设备11,8,24,2534,164,280,2,281,1,ready
设备11,9,3,2616,135,325,30,322,2,ready
设备11,9,6,2601,135,322,30,316,2,ready
设备11,9,12,2571,133,316,30,304,2,ready
设备11,9,24,2511,132,304,30,280,2,ready
设备12,0,3,7426,2289,926,241,927,166,ready
设备12,0,6,7420,2287,923,241,924,166,ready
设备12,0,12,7408,2284,917,240,918,164,ready
设备12,0,24,7384,2273,905,238,906,162,ready
设备12,1,3,7424,2106,926,348,926,241,ready
设备12,1,6,7415,2104,923,347,923,241,ready
设备12,1,12,7397,2097,917,346,917,240,ready
设备12,1,24,7361,2089,905,338,905,238,ready
设备12,2,3,7424,1871,926,475,926,348,ready
设备12,2,6,7415,1868,923,474,923,347,ready
设备12,2,12,7397,1862,917,471,917,346,ready
设备12,2,24,7361,1855,905,468,905,338,ready
设备12,3,3,7427,1967,923,252,926,475,ready
设备12,3,6,7421,1967,917,249,923,474,ready
设备12,3,12,7409,1964,905,245,917,471,ready
设备12,3,24,7385,1958,881,240,905,468,ready
设备12,4,3,7427,2217,926,225,923,252,ready
设备12,4,6,7421,2217,923,225,917,249,ready
设备12,4,12,7409,2213,917,224,905,245,ready
设备12,4,24,7385,2208,905,220,881,240,ready
设备12,5,3,7424,2152,926,318,926,225,ready
设备12,5,6,7415,2150,923,318,923,225,ready
设备12,5,12,7397,2144,917,316,917,224,ready
设备12,5,24,7361,2137,905,313,905,220,ready
设备12,6,3,7424,2121,926,255,926,318,ready
设备12,6,6,7415,2120,923,254,923,318,ready
设备12,6,12,7397,2116,917,252,917,316,ready
设备12,6,24,7361,2111,905,250,905,313,ready
设备12,7,3,7424,2252,926,188,926,255,ready
设备12,7,6,7415,2250,923,188,923,254,ready
设备12,7,12,7397,2246,917,188,917,252,ready
设备12,7,24,7361,2238,905,188,905,250,ready
设备12,8,3,7427,2286,926,222,926,188,ready
设备12,8,6,7421,2285,923,221,923,188,ready
设备12,8,12,7409,2281,917,221,917,188,ready
设备12,8,24,7385,2276,905,218,905,188,ready
设备12,9,3,7426,2308,927,166,926,222,ready
设备12,9,6,7420,2307,924,166,923,221,ready
设备12,9,12,7408,2304,918,164,917,221,ready
设备12,9,24,7384,2299,906,162,905,218,ready
设备13,0,3,3831,59,479,19,476,5,ready
设备13,0,6,3811,57,476,19,470,4,ready
设备13,0,12,3775,55,470,19,458,4,ready
设备13,0,24,3703,52,458,19,434,4,ready
设备13,1,3,3826,58,478,6,479,19,ready
设备13,1,6,3800,55,475,6,476,19,ready
设备13,1,12,3752,53,469,6,470,19,ready
设备13,1,24,3656,50,457,5,458,19,ready
设备13,2,3,3826,64,479,13,478,6,ready
设备13,2,6,3800,61,476,13,475,6,ready
设备13,2,12,3752,59,470,13,469,6,ready
设备13,2,24,3656,57,458,12,457,5,ready
设备13,3,3,3826,60,478,11,479,13,ready
设备13,3,6,3800,57,475,11,476,13,ready
设备13,3,12,3752,55,469,11,470,13,ready
设备13,3,24,3656,52,457,11,458,12,ready
设备13,4,3,3826,66,479,7,478,11,ready
设备13,4,6,3800,63,476,7,475,11,ready
设备13,4,12,3752,61,470,7,469,11,ready
设备13,4,24,3656,59,458,6,457,11,ready
设备13,5,3,3828,66,476,11,479,7,ready
设备13,5,6,3805,63,470,11,476,7,ready
设备13,5,12,3763,62,458,10,470,7,ready
设备13,5,24,3679,62,434,8,458,6,ready
设备13,6,3,3832,69,475,4,476,11,ready
设备13,6,6,3812,66,469,4,470,11,ready
