Cluster,Label,Model,Device_Count,Sparsity,Mean_Intensity,CV
1,Dense,Informer,1,0.9182673461387691,0.22814582516660134,5.039531202570095
2,Intermittent,iTransformer,31,0.9867477649498615,0.017646463752355183,10.06351378493615
0,Sparse,PatchTST,48,0.9974336044688358,0.003082941330197308,22.438725919003797
