Device_Name,Category,File_Path,Root_Path,Data_Path,Sparsity,Mean_Intensity,CV,Cluster,Label,Model,Window_Count,Level4_Positive_Windows,Level4_Total_Count,Input_SHA256
设备0,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备0/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备0,window_60_data2.csv,0.9797138377107016,0.04606036848294787,8.640826587222845,2,Intermittent,iTransformer,10204,207,470.0,56912aed3e092acdb1c4dbbc30191e63e4da16a63bc5516956e8e0104b1d902a
设备1,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备1/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备1,window_60_data2.csv,0.9981379851038809,0.001862014896119169,23.152810446659547,0,Sparse,PatchTST,10204,19,19.0,67d76d209dcd90a3aba98d19db7041cbe60a7a7236c05b0c753d33a4a2f0acfc
设备2,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备2/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备2,window_60_data2.csv,0.9889259114072912,0.011368090944727557,9.566371192272815,2,Intermittent,iTransformer,10204,113,116.0,5f2b8c9a0869638ecb3e736a305f47658931e59e61310b5359d9dc269432c23c
设备3,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备3/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备3,window_60_data2.csv,0.9918659349274794,0.008134065072520581,11.04263370017065,2,Intermittent,iTransformer,10204,83,83.0,e6724163a3b5722428812e405745c39a8a8cc0af2a892e84c89a406a46825b22
设备4,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备4/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备4,window_60_data2.csv,0.9968639749117993,0.003234025872206978,18.08182097495801,0,Sparse,PatchTST,10204,32,33.0,1dc13d9ef85b417e53b5c7468c722d1fafc8e0b1b90d0aff9a2cb093ca628299
设备5,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备5/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备5,window_60_data2.csv,0.9972559780478244,0.0027440219521756176,19.063802648699745,0,Sparse,PatchTST,10204,28,28.0,0d1edf23e9b8726ddd5240be5361c64067a75e5cb01d4562ce63886e62ca434f
设备6,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备6/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备6,window_60_data2.csv,0.9976479811838495,0.002352018816150529,20.595306908775765,0,Sparse,PatchTST,10204,24,24.0,1ebfb97fd94d14c9ccb92d6e1f35187b9daca9ec3eacf89202b3a94285d39e16
设备7,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备7/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备7,window_60_data2.csv,0.9948059584476676,0.00960407683261466,28.954350893290837,0,Sparse,PatchTST,10204,53,98.0,aeb8869bd5599b791bce82eed73ec126180e022fdbd822fea9b304a6b9d9db7e
设备8,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备8/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备8,window_60_data2.csv,0.9955899647197177,0.012642101136809095,17.60353493025599,0,Sparse,PatchTST,10204,45,129.0,3836fb7955d5c518d2b748bc79b4b5d0c64804051088d96b6e3921514e7ead69
设备9,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备9/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备9,window_60_data2.csv,0.9961779694237554,0.00862406899255194,17.75498998652175,0,Sparse,PatchTST,10204,39,88.0,10b8c8739022c0916104e498a93fdbd68657a2dc7d7a3db2726df2e4e67c20a6
