Device_Name,Category,File_Path,Window_Count,Level1_Sparsity,Level1_Mean_Intensity,Level1_CV,Level2_Sparsity,Level2_Mean_Intensity,Level2_CV,Level3_Sparsity,Level3_Mean_Intensity,Level3_CV,Level4_Sparsity,Level4_Mean_Intensity,Level4_CV,Routing_Sparsity,All_Levels_Zero_Ratio,Cluster,Label,Model,Previous_Label,Previous_Model,Model_Changed
设备0,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备0/window_60_data2.csv,10204,0.9890239121912975,0.013132105056840454,10.120602667407015,0.9984319874558997,0.0022540180321442573,27.409483270519704,0.9997059976479812,0.00029400235201881614,58.312377188152226,0.9797138377107016,0.04606036848294787,8.640826587222845,0.9917189337514699,0.9770678165425324,0,Sparse,PatchTST,Intermittent,iTransformer,True
设备1,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备1/window_60_data2.csv,10204,0.9862798902391219,0.027538220305762445,9.546717543661895,0.9983339866718933,0.0017640141121128968,25.07741101489299,0.9991179929439435,0.0009800078400627205,34.97827897424343,0.9981379851038809,0.001862014896119169,23.152810446659547,0.99546746373971,0.9843198745589965,0,Sparse,PatchTST,Sparse,PatchTST,False
设备2,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备2/window_60_data2.csv,10204,0.9783418267346139,0.04351234809878479,7.8571368490264435,0.9990199921599373,0.0009800078400627205,31.9280440991928,0.9979419835358683,0.002058016464131713,22.020553169817557,0.9889259114072912,0.011368090944727557,9.566371192272815,0.9910574284594276,0.9715797726381811,0,Sparse,PatchTST,Intermittent,iTransformer,True
设备3,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备3/window_60_data2.csv,10204,0.998921991375931,0.0010780086240689925,30.44070241693453,1.0,0.0,0.0,0.9980399843198745,0.001960015680125441,22.56546033210934,0.9918659349274794,0.008134065072520581,11.04263370017065,0.9972069776558212,0.9896119168953351,0,Sparse,PatchTST,Intermittent,iTransformer,True
设备4,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备4/window_60_data2.csv,10204,0.9962759702077617,0.014308114464915719,26.12634041253143,0.9999019992159938,9.800078400627205e-05,101.0099005048515,0.9985299882399059,0.0026460211681693453,28.71999537657914,0.9968639749117993,0.003234025872206978,18.08182097495801,0.9978929831438652,0.9940219521756174,0,Sparse,PatchTST,Sparse,PatchTST,False
设备5,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备5/window_60_data2.csv,10204,0.9624656997255978,0.07026656213249706,5.994867532300187,0.999607996863975,0.0004900039200313603,53.44267957353935,0.9924539396315171,0.008232065856526851,11.983927255772848,0.9972559780478244,0.0027440219521756176,19.063802648699745,0.9879459035672286,0.9598196785574284,0,Sparse,PatchTST,Sparse,PatchTST,False
设备6,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备6/window_60_data2.csv,10204,0.9833398667189337,0.026656213249705997,9.430003008875707,1.0,0.0,0.0,0.9478635829086632,0.27979223833790673,4.48695536589133,0.9976479811838495,0.002352018816150529,20.595306908775765,0.9822128577028616,0.9376715013720109,0,Sparse,PatchTST,Sparse,PatchTST,False
设备7,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备7/window_60_data2.csv,10204,0.9958839670717365,0.004214033712269698,15.727035418358334,1.0,0.0,0.0,0.9910819286554292,0.027146217169737356,12.058991160652347,0.9948059584476676,0.00960407683261466,28.954350893290837,0.9954429635437083,0.9835358682869463,0,Sparse,PatchTST,Sparse,PatchTST,False
设备8,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备8/window_60_data2.csv,10204,0.9968639749117993,0.004116032928263426,18.91147775637074,0.999607996863975,0.0003920031360250882,50.4975246918104,1.0,0.0,0.0,0.9955899647197177,0.012642101136809095,17.60353493025599,0.998015484123873,0.9952959623676989,0,Sparse,PatchTST,Sparse,PatchTST,False
设备9,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备9/window_60_data2.csv,10204,0.9972559780478244,0.003724029792238338,20.220186835899177,1.0,0.0,0.0,1.0,0.0,0.0,0.9961779694237554,0.00862406899255194,17.75498998652175,0.998358486867895,0.9958839670717365,0,Sparse,PatchTST,Sparse,PatchTST,False
设备10,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备10/window_60_data2.csv,10204,0.9811838494707957,0.03528028224225794,8.507679900181401,0.9992159937279498,0.0008820070560564484,37.21193887802312,0.999607996863975,0.0003920031360250882,50.4975246918104,0.9976479811838495,0.002352018816150529,20.595306908775765,0.9944139553116425,0.9799098392787142,0,Sparse,PatchTST,Sparse,PatchTST,False
设备11,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备11/window_60_data2.csv,10204,0.9836338690709525,0.02675421403371227,8.611928831468896,1.0,0.0,0.0,0.9999019992159938,0.0001960015680125441,101.0099005048515,0.9976479811838495,0.002352018816150529,20.595306908775765,0.9952959623676989,0.9826538612308898,0,Sparse,PatchTST,Sparse,PatchTST,False
设备12,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备12/window_60_data2.csv,10204,0.734515876127009,0.44678557428459426,2.668462437360191,0.9990199921599373,0.0009800078400627205,31.9280440991928,0.9957859662877303,0.006566052528420227,16.1371585461449,0.9945119560956488,0.0055860446883575065,13.575671666184986,0.9309584476675814,0.7315758526068209,0,Sparse,PatchTST,Intermittent,iTransformer,True
设备13,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备13/window_60_data2.csv,10204,0.9968639749117993,0.0031360250882007056,17.829049329675435,1.0,0.0,0.0,0.9957859662877303,0.006860054880439044,16.29581140624041,0.9945119560956488,0.005488043904351235,13.46158555721746,0.9967904743237945,0.9906899255194042,0,Sparse,PatchTST,Intermittent,iTransformer,True
设备14,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备14/window_60_data2.csv,10204,0.9884359074872598,0.014602116816934536,9.93666488970114,0.9999019992159938,9.800078400627205e-05,101.00990050485153,1.0,0.0,0.0,0.9774598196785574,0.0473343786750294,7.506183983140882,0.9914494315954527,0.9751078008624069,0,Sparse,PatchTST,Intermittent,iTransformer,True
设备15,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备15/window_60_data2.csv,10204,0.9973539788318306,0.006958055664445316,28.896284173572788,1.0,0.0,0.0,0.9987259898079185,0.0013720109760878088,28.844056438662268,0.998921991375931,0.0010780086240689925,30.440702416934524,0.99875049000392,0.9965699725597805,0,Sparse,PatchTST,Sparse,PatchTST,False
设备16,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备16/window_60_data2.csv,10204,0.9991179929439435,0.0009800078400627205,34.97827897424343,0.9977459819678557,0.0028420227361818894,22.81943286000594,1.0,0.0,0.0,0.997451979615837,0.002548020384163073,19.785386992968785,0.998578988631909,0.9943159545276362,0,Sparse,PatchTST,Sparse,PatchTST,False
设备17,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备17/window_60_data2.csv,10204,0.9767738141905136,0.06615052920423363,7.276745530414218,0.9985299882399059,0.0014700117600940808,26.062744803006968,1.0,0.0,0.0,0.9963739709917679,0.003626029008232066,16.57660350565772,0.9929194433555468,0.9735397883183066,0,Sparse,PatchTST,Sparse,PatchTST,False
设备18,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备18/window_60_data2.csv,10204,0.999607996863975,0.0005880047040376323,53.2301084391573,1.0,0.0,0.0,0.9713837710701686,0.07075656605252842,6.818234740910541,0.9961779694237554,0.00382203057624461,16.14438062116431,0.9917924343394747,0.967561740493924,0,Sparse,PatchTST,Sparse,PatchTST,False
设备19,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备19/window_60_data2.csv,10204,0.9925519404155233,0.009114072912583301,12.296050368523998,0.9988239905919247,0.0011760094080752645,29.143323992525865,0.9992159937279498,0.002548020384163073,38.83899400887338,0.9864758918071345,0.018718149745197962,9.857851842484957,0.994266954135633,0.9832418659349275,0,Sparse,PatchTST,Intermittent,iTransformer,True
