Model,Avg_MSE,Avg_MAE,Improvement_Pct
SAFE-Basic,0.040163441157007665,0.015950884119397813,-70.91384993199564
SAFE-Rich,0.06864488354661345,0.02172300252533582,0.0
iTransformer,0.7320321963714082,0.1115616078,90.62269612089776
Stacking,0.7396015084511225,0.14576730949315653,90.7186663680054
Informer,0.94566326835625,0.186137124125,92.74108598233578
PatchTST,0.971038862014711,0.138603437096875,92.93077895933133
